RowNum,Name,Value,CentroidX,CentroidY
1282,cross_point,"{""type"":""Point"", ""coordinates"":[91.218123428558,-35.3092597664344]}",91.218123428558,-35.3092597664344
1235,latlong_obj,"{""type"":""Point"", ""coordinates"":[93.0389678105353,-35.8748347948269]}",93.0389678105353,-35.8748347948269
1277,cross_point,"{""type"":""Point"", ""coordinates"":[93.5544627261571,-1.13461183020177]}",93.5544627261571,-1.13461183020177
1237,latlong_obj,"{""type"":""Point"", ""coordinates"":[95.2999409914052,-33.176757543323]}",95.2999409914052,-33.176757543323
1241,latlong_obj,"{""type"":""Point"", ""coordinates"":[87.399978539451,-38.0818479620659]}",87.399978539451,-38.0818479620659
1234,latlong_obj,"{""type"":""Point"", ""coordinates"":[93.0249946355823,-35.5177554881147]}",93.0249946355823,-35.5177554881147
1283,cross_point,"{""type"":""Point"", ""coordinates"":[91.1888221181696,-37.6084424525946]}",91.1888221181696,-37.6084424525946
1238,latlong_obj,"{""type"":""Point"", ""coordinates"":[92.9098632745795,-34.6294446245644]}",92.9098632745795,-34.6294446245644
1278,cross_point,"{""type"":""Point"", ""coordinates"":[93.2494921993461,-8.68439783734482]}",93.2494921993461,-8.68439783734482
1280,cross_point,"{""type"":""Point"", ""coordinates"":[92.851352110143,-23.3001925526244]}",92.851352110143,-23.3001925526244
1240,latlong_obj,"{""type"":""Point"", ""coordinates"":[89.9588906196636,-34.1043856845898]}",89.9588906196636,-34.1043856845898
1281,cross_point,"{""type"":""Point"", ""coordinates"":[91.3662717458899,-33.9939677847961]}",91.3662717458899,-33.9939677847961
1279,cross_point,"{""type"":""Point"", ""coordinates"":[93.2016796535411,-16.0678367420582]}",93.2016796535411,-16.0678367420582
1236,latlong_obj,"{""type"":""Point"", ""coordinates"":[99.9339463526454,-29.1277750468636]}",99.9339463526454,-29.1277750468636
1239,latlong_obj,"{""type"":""Point"", ""coordinates"":[87.9547656623548,-32.5350015195158]}",87.9547656623548,-32.5350015195158
